VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
2,1/1/18 0:32,1/1/18 0:58,N,1,233,125,1,3.52,18,0.5,0.5,0,0,0.3,19.3,2
1,1/1/18 0:41,1/1/18 0:54,N,1,161,146,4,3,12,0.5,0.5,2.65,0,0.3,15.95,1
2,1/1/18 0:17,1/1/18 0:21,N,1,234,234,5,0.25,4.5,0.5,0.5,0,0,0.3,5.8,2
2,1/1/18 0:24,1/1/18 0:46,N,1,234,143,5,3.31,16,0.5,0.5,3.46,0,0.3,20.76,1
2,1/1/18 0:48,1/1/18 0:51,N,1,142,239,5,0.57,4,0.5,0.5,1.06,0,0.3,6.36,1
1,1/1/18 0:24,1/1/18 0:31,N,1,170,162,2,0.7,6,0.5,0.5,0,0,0.3,7.3,2
1,1/1/18 0:36,1/1/18 0:43,N,1,233,263,1,1.8,7.5,0.5,0.5,0,0,0.3,8.8,2
1,1/1/18 0:49,1/1/18 0:57,N,1,236,237,2,1.2,7.5,0.5,0.5,0,0,0.3,8.8,2
1,1/1/18 0:13,1/1/18 0:23,N,1,142,166,1,2.7,10.5,0.5,0.5,2.35,0,0.3,14.15,1
1,1/1/18 0:33,1/1/18 1:18,N,1,238,249,2,4.3,27.5,0.5,0.5,0,0,0.3,28.8,2
2,1/1/18 0:15,1/1/18 0:22,N,1,151,238,1,0.89,5.5,0.5,0.5,0,0,0.3,6.8,2
2,1/1/18 0:25,1/1/18 0:29,N,1,238,238,1,0.49,4.5,0.5,0.5,1.45,0,0.3,7.25,1
2,1/1/18 0:32,1/1/18 0:36,N,1,238,151,2,0.8,5,0.5,0.5,1.26,0,0.3,7.56,1
2,1/1/18 0:45,1/1/18 0:58,N,1,238,143,1,2.09,11,0.5,0.5,2.46,0,0.3,14.76,1
2,1/1/18 0:31,1/1/18 0:45,N,1,186,231,1,2.32,11,0.5,0.5,3.08,0,0.3,15.38,1
2,1/1/18 0:47,1/1/18 1:26,N,1,231,116,1,9.49,35,0.5,0.5,9.08,0,0.3,45.38,1
1,1/1/18 0:21,1/1/18 0:28,N,1,141,145,2,2.5,9.5,0.5,0.5,2.7,0,0.3,13.5,1
1,1/1/18 0:32,1/1/18 0:47,N,1,145,263,1,4.6,15.5,0.5,0.5,4.2,0,0.3,21,1
1,1/1/18 0:54,1/1/18 1:03,N,1,141,146,1,3,10.5,0.5,0.5,0,0,0.3,11.8,2
1,1/1/18 0:23,1/1/18 0:52,N,1,90,82,1,7.3,26.5,0.5,0.5,1,5.76,0.3,34.56,1
1,1/1/18 0:04,1/1/18 0:15,N,1,144,234,1,1.3,9,0.5,0.5,2.05,0,0.3,12.35,1
1,1/1/18 0:17,1/1/18 0:41,N,1,234,164,1,0.8,14.5,0.5,0.5,0,0,0.3,15.8,2
1,1/1/18 0:42,1/1/18 0:44,N,1,164,164,1,0.1,3,0.5,0.5,0,0,0.3,4.3,2
1,1/1/18 0:48,1/1/18 0:55,N,1,164,164,2,0.2,6,0.5,0.5,1.45,0,0.3,8.75,1
1,1/1/18 0:58,1/1/18 1:05,N,1,164,68,1,1,6.5,0.5,0.5,1.5,0,0.3,9.3,1
2,1/1/18 0:19,1/1/18 0:34,N,1,237,161,2,1.13,10.5,0.5,0.5,0,0,0.3,11.8,2
2,1/1/18 0:36,1/1/18 0:51,N,1,161,170,4,0.41,10,0.5,0.5,2.26,0,0.3,13.56,1
1,1/1/18 0:17,1/1/18 0:37,N,1,142,48,1,2.8,14.5,0.5,0.5,0,0,0.3,15.8,2
