VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type
2,1/1/18 0:54,1/1/18 1:42,N,1,166,33,1,10.58,38,0.5,0.5,5.7,0,0.3,45,1
2,1/1/18 0:44,1/1/18 0:46,N,1,40,25,1,0.42,3.5,0.5,0.5,0,0,0.3,4.8,2
2,1/1/18 0:51,1/1/18 0:58,N,1,52,106,1,1.34,7,0.5,0.5,1.66,0,0.3,9.96,1
2,1/1/18 0:12,1/1/18 0:14,N,1,223,223,1,0.51,4,0.5,0.5,1.59,0,0.3,6.89,1
2,1/1/18 0:50,1/1/18 0:56,N,1,7,179,1,0.88,6,0.5,0.5,0,0,0.3,7.3,2
2,1/1/18 0:57,1/1/18 1:00,N,1,179,179,1,0.6,4.5,0.5,0.5,0,0,0.3,5.8,2
1,1/1/18 0:14,1/1/18 0:16,N,1,223,7,1,0.1,3,0.5,0.5,0,0,0.3,4.3,2
1,1/1/18 0:19,1/1/18 0:23,N,1,7,179,1,0.7,4.5,0.5,0.5,1.15,0,0.3,6.95,1
1,1/1/18 0:30,1/1/18 0:36,N,1,179,7,1,1,6,0.5,0.5,0,0,0.3,7.3,2
1,1/1/18 0:42,1/1/18 0:46,N,1,223,223,1,0.8,5,0.5,0.5,0,0,0.3,6.3,2
1,1/1/18 0:57,1/1/18 1:07,N,1,7,223,1,1.5,8.5,0.5,0.5,0,0,0.3,9.8,2
2,1/1/18 0:12,1/1/18 0:17,N,1,65,65,1,0.25,4.5,0.5,0.5,0,0,0.3,5.8,2
2,1/1/18 0:26,1/1/18 0:30,N,1,65,49,1,0.77,5,0.5,0.5,0,0,0.3,6.3,2
2,1/1/18 0:30,1/1/18 0:40,N,1,49,17,1,1.7,8.5,0.5,0.5,0,0,0.3,9.8,2
2,1/1/18 0:35,1/1/18 0:38,N,1,41,166,1,0.68,5,0.5,0.5,1.89,0,0.3,8.19,1
